time,open,high,low,close,tick_volume,spread,real_volume
2012-07-04,1.2604,1.26063,1.2508,1.25186,67828,5,0
2012-07-05,1.25187,1.25375,1.23637,1.2382900000000001,82900,5,0
2012-07-06,1.23828,1.24008,1.22598,1.22875,77259,5,0
2012-07-08,1.22659,1.22776,1.22557,1.22762,2400,4,0
2012-07-09,1.22767,1.2323,1.22662,1.23153,72596,5,0
2012-07-10,1.23153,1.23331,1.22351,1.22504,76717,5,0
2012-07-11,1.22505,1.22957,1.2212399999999999,1.22435,76366,5,0
2012-07-12,1.22433,1.22459,1.2167,1.22076,79100,5,0
2012-07-13,1.22075,1.22554,1.21622,1.22485,72020,5,0
2012-07-15,1.22498,1.22597,1.22474,1.22561,1639,12,0
2012-07-16,1.22561,1.22889,1.21753,1.22665,66438,5,0
2012-07-17,1.22665,1.23156,1.2189,1.22857,77726,5,0
2012-07-18,1.22859,1.23052,1.22166,1.22787,77455,5,0
2012-07-19,1.22788,1.23214,1.2229,1.22746,81250,5,0
2012-07-20,1.22747,1.22823,1.2144,1.21551,75437,5,0
2012-07-22,1.21217,1.21303,1.2116,1.21204,2614,13,0
2012-07-23,1.21206,1.21438,1.20669,1.2120199999999999,84869,5,0
2012-07-24,1.21201,1.21368,1.20418,1.20637,86559,5,0
2012-07-25,1.20636,1.21681,1.20529,1.21476,86325,5,0
2012-07-26,1.21475,1.23276,1.21172,1.22799,86624,5,0
2012-07-27,1.22801,1.23889,1.22417,1.23211,87005,5,0
2012-07-29,1.2301199999999999,1.23088,1.22964,1.23075,1619,12,0
2012-07-30,1.23074,1.23099,1.22251,1.2259,71753,5,0
2012-07-31,1.22593,1.23289,1.22487,1.22965,78902,5,0
2012-08-01,1.22961,1.23357,1.2217500000000001,1.2235800000000001,75825,4,0
2012-08-02,1.22357,1.24011,1.21337,1.21759,89323,5,0
2012-08-03,1.2176,1.23918,1.21662,1.23848,79653,5,0
2012-08-05,1.23945,1.23957,1.23827,1.2389000000000001,1966,12,0
2012-08-06,1.23891,1.2442199999999999,1.23413,1.23943,75552,5,0
2012-08-07,1.23943,1.24414,1.23756,1.23927,75201,5,0
2012-08-08,1.23928,1.24016,1.23264,1.23701,74718,5,0
2012-08-09,1.23703,1.2386,1.22667,1.23017,77122,8,0
2012-08-10,1.23017,1.23156,1.22409,1.22884,69754,8,0
2012-08-12,1.22864,1.22909,1.22861,1.22868,1073,12,0
2012-08-13,1.22867,1.23729,1.22604,1.23339,69090,6,0
2012-08-14,1.23338,1.23849,1.23164,1.23201,70183,7,0
2012-08-15,1.232,1.23429,1.2263600000000001,1.22823,62441,7,0
2012-08-16,1.22824,1.23718,1.22561,1.23556,68427,5,0
2012-08-17,1.23556,1.23814,1.22886,1.23327,65022,5,0
2012-08-19,1.2338,1.23407,1.23346,1.23384,1295,10,0
2012-08-20,1.2338,1.23683,1.22948,1.23502,63869,5,0
2012-08-21,1.2349999999999999,1.24868,1.2346,1.24698,70538,5,0
2012-08-22,1.24697,1.25367,1.2431,1.25333,74788,5,0
2012-08-23,1.25333,1.25885,1.2524600000000001,1.25587,73661,5,0
2012-08-24,1.25586,1.25658,1.2482199999999999,1.25109,61005,6,0
2012-08-26,1.25118,1.25191,1.2511,1.2518500000000001,1008,4,0
2012-08-27,1.25184,1.25349,1.24894,1.25024,44250,7,0
2012-08-28,1.25024,1.25753,1.24647,1.2564,55859,5,0
2012-08-29,1.25643,1.25723,1.25184,1.25328,52013,8,0
2012-08-30,1.25327,1.25632,1.24875,1.25087,52925,8,0
2012-08-31,1.25088,1.2636,1.24929,1.25783,65322,5,0
2012-09-02,1.25803,1.25812,1.2575,1.25753,1095,10,0
2012-09-03,1.25753,1.26098,1.25598,1.25876,49159,5,0
2012-09-04,1.25875,1.26267,1.2555,1.25636,61200,5,0
2012-09-05,1.25637,1.26234,1.25012,1.25955,69619,5,0
2012-09-06,1.2595399999999999,1.26501,1.25619,1.26284,70005,5,0
2012-09-07,1.2628599999999999,1.28165,1.26262,1.2815400000000001,67017,7,0
2012-09-09,1.28064,1.2808,1.2796699999999999,1.27969,1061,12,0
2012-09-10,1.27968,1.2802799999999999,1.27543,1.27607,58378,5,0
